foodgroup,12-13 years,14-18 years,19-50 years,51-70 years,71+ years
Whole Grains,2.17,3.64,2.9,2.33,1.65
Refined Grains,1.27,1.08,1.66,1.65,1.17
All Potatoes,1.61,3.13,2.48,2.28,2.11
Dark Green Vegetables,0.87,1.31,1.24,1.19,1.17
Orange Vegetables,0.67,0.64,0.98,0.81,0.66
Beans & Legumes,1.83,2,1.87,2.16,1.35
Other Vegetables,3.28,1.47,2.7,3.18,2.67
Whole Fruit,3.7,5.68,6.65,7.71,5.09
Fruit Juice,2.29,1.83,1.76,0.44,0.38
"Whole Milk, Yogurt",0.49,0.84,0.55,0.28,0.23
"Low-fat Milk, Yogurt",12.97,10.97,10.75,11.01,11.41
Cheese,0.02,0.08,0.07,0.11,0.02
Milk Dessert,0,0,0,0.05,0
"Beef, Pork, etc.",0.74,0.62,0.65,0.67,0.48
Poultry,0.82,0.77,2.55,0.84,3.55
Fish,0.45,0.26,0.17,0.04,0.21
Nuts,0.46,0.41,0.26,0.34,0.35
Eggs,0.42,0.34,0.36,0.29,0.06
Fats & Oils,0.33,1,0.99,0.62,0.46
Soft Drinks,0.02,0,0.01,0.41,0.02
Sweets,0,0.07,0.08,0.05,0.01
Soups,1.09,2.47,1.17,0.92,0.99
Frozen Entree,0.07,0,0.01,0,0
