foodgroup,year,quarter,price
Fresh/Frozen fruit,2004,1,0.5141867
Fresh/Frozen fruit,2004,2,0.5609375
Fresh/Frozen fruit,2004,3,0.5221352
Fresh/Frozen fruit,2004,4,0.4571962
Fresh/Frozen fruit,2005,1,0.5111331
Fresh/Frozen fruit,2005,2,0.510505
Fresh/Frozen fruit,2005,3,0.4610122
Fresh/Frozen fruit,2005,4,0.4497564
Fresh/Frozen fruit,2006,1,0.5595801
Fresh/Frozen fruit,2006,2,0.513131
Fresh/Frozen fruit,2006,3,0.4866133
Fresh/Frozen fruit,2006,4,0.509266
Fresh/Frozen fruit,2007,1,0.5708299
Fresh/Frozen fruit,2007,2,0.5513984
Fresh/Frozen fruit,2007,3,0.52815
Fresh/Frozen fruit,2007,4,0.535956
Fresh/Frozen fruit,2008,1,0.576108
Fresh/Frozen fruit,2008,2,0.5680696
Fresh/Frozen fruit,2008,3,0.5313958
Fresh/Frozen fruit,2008,4,0.5623307
Fresh/Frozen fruit,2009,1,0.5712087
Fresh/Frozen fruit,2009,2,0.5356687
Fresh/Frozen fruit,2009,3,0.5236211
Fresh/Frozen fruit,2009,4,0.5740156
Fresh/Frozen fruit,2010,1,0.5455127
Fresh/Frozen fruit,2010,2,0.5557197
Fresh/Frozen fruit,2010,3,0.5510858
Fresh/Frozen fruit,2010,4,0.5818057
Canned Fruit,2004,1,0.530322
Canned Fruit,2004,2,0.5242121
Canned Fruit,2004,3,0.5365202
Canned Fruit,2004,4,0.6497355
Canned Fruit,2005,1,0.5732726
Canned Fruit,2005,2,0.5559479
Canned Fruit,2005,3,0.5709341
Canned Fruit,2005,4,0.5993774
Canned Fruit,2006,1,0.638786
Canned Fruit,2006,2,0.5984168
Canned Fruit,2006,3,0.5956154
Canned Fruit,2006,4,0.6115208
Canned Fruit,2007,1,0.6214065
Canned Fruit,2007,2,0.6018102
Canned Fruit,2007,3,0.6128634
Canned Fruit,2007,4,0.5898153
Canned Fruit,2008,1,0.6087036
Canned Fruit,2008,2,0.6174626
Canned Fruit,2008,3,0.6159436
Canned Fruit,2008,4,0.5988075
Canned Fruit,2009,1,0.565402
Canned Fruit,2009,2,0.5275297
Canned Fruit,2009,3,0.5467078
Canned Fruit,2009,4,0.591588
Canned Fruit,2010,1,0.6226928
Canned Fruit,2010,2,0.6669528
Canned Fruit,2010,3,0.5933576
Canned Fruit,2010,4,0.5766598
Fruit Juice,2004,1,0.2278203
Fruit Juice,2004,2,0.2400264
Fruit Juice,2004,3,0.2442659
Fruit Juice,2004,4,0.2535552
Fruit Juice,2005,1,0.2238518
Fruit Juice,2005,2,0.2458301
Fruit Juice,2005,3,0.2762694
Fruit Juice,2005,4,0.2414821
Fruit Juice,2006,1,0.2398339
Fruit Juice,2006,2,0.2785796
Fruit Juice,2006,3,0.2701843
Fruit Juice,2006,4,0.2620314
Fruit Juice,2007,1,0.2458113
Fruit Juice,2007,2,0.2990878
Fruit Juice,2007,3,0.2664511
Fruit Juice,2007,4,0.290823
Fruit Juice,2008,1,0.2593993
Fruit Juice,2008,2,0.303326
Fruit Juice,2008,3,0.2846648
Fruit Juice,2008,4,0.3071664
Fruit Juice,2009,1,0.2752807
Fruit Juice,2009,2,0.3558469
Fruit Juice,2009,3,0.3305185
