marketgroup,year,quarter,price,se,n,division,region,aggweight,totexp
1,2004,1,,,,1,1,1050612,
1,2004,2,,,,1,1,1050612,
1,2004,3,,,,1,1,1050612,
1,2004,4,,,,1,1,1050612,
1,2005,1,,,,1,1,1077312,
1,2005,2,,,,1,1,1077312,
1,2005,3,,,,1,1,1077312,
1,2005,4,,,,1,1,1077312,
1,2006,1,,,,1,1,1220140,
1,2006,2,,,,1,1,1220140,
1,2006,3,,,,1,1,1220140,
1,2006,4,,,,1,1,1220140,
1,2007,1,,,,1,1,1291963,
1,2007,2,,,,1,1,1291963,
1,2007,3,,,,1,1,1291963,
1,2007,4,,,,1,1,1291963,
1,2008,1,,,,1,1,1284004,
1,2008,2,,,,1,1,1284004,
1,2008,3,,,,1,1,1284004,
1,2008,4,,,,1,1,1284004,
1,2009,1,,,,1,1,1282035,
1,2009,2,,,,1,1,1282035,
1,2009,3,,,,1,1,1282035,
1,2009,4,,,,1,1,1282035,
1,2010,1,,,,1,1,1274081,
1,2010,2,,,,1,1,1274081,
1,2010,3,,,,1,1,1274081,
1,2010,4,,,,1,1,1274081,
2,2004,1,0.2067185,0.0127902,31,2,1,3236766,"$583,451"
2,2004,2,,,,2,1,3236766,
2,2004,3,,,,2,1,3236766,
2,2004,4,0.2178097,0.0156089,33,2,1,3236766,"$641,851"
2,2005,1,0.2153567,0.0118944,32,2,1,3237397,"$658,036"
2,2005,2,,,,2,1,3237397,
2,2005,3,,,,2,1,3237397,
2,2005,4,,,,2,1,3237397,
2,2006,1,,,,2,1,3296844,
2,2006,2,,,,2,1,3296844,
2,2006,3,0.2376759,0.0180728,31,2,1,3296844,"$488,012"
2,2006,4,,,,2,1,3296844,
2,2007,1,,,,2,1,3221153,
2,2007,2,,,,2,1,3221153,
2,2007,3,,,,2,1,3221153,
2,2007,4,0.2281103,0.0142857,34,2,1,3221153,"$433,544"
2,2008,1,0.2512688,0.0157951,35,2,1,3267887,"$516,350"
2,2008,2,,,,2,1,3267887,
2,2008,3,0.2391988,0.0151443,35,2,1,3267887,"$392,940"
2,2008,4,0.252736,0.0245367,35,2,1,3267887,"$673,282"
2,2009,1,0.3071074,0.0219608,37,2,1,3217708,"$469,682"
2,2009,2,0.2925403,0.0177997,34,2,1,3217708,"$450,722"
2,2009,3,0.3061601,0.0232305,33,2,1,3217708,"$415,215"
2,2009,4,0.3057085,0.0222665,35,2,1,3217708,"$813,268"
2,2010,1,0.3302282,0.0243751,35,2,1,3144836,"$569,076"
2,2010,2,0.3005731,0.0208864,30,2,1,3144836,"$601,134"
2,2010,3,0.2995594,0.0232348,32,2,1,3144836,"$626,071"
2,2010,4,0.2961199,0.0239865,35,2,1,3144836,"$890,337"
3,2004,1,0.1576414,0.0068494,125,2,1,4401824,"$581,066"
3,2004,2,0.1564994,0.0073524,114,2,1,4401824,"$591,401"
3,2004,3,0.1572154,0.0075938,90,2,1,4401824,"$472,429"
3,2004,4,0.1641843,0.0089361,116,2,1,4401824,"$416,747"
3,2005,1,0.177723,0.0136035,96,2,1,4484890,"$529,579"
3,2005,2,0.1808688,0.0119482,82,2,1,4484890,"$378,815"
3,2005,3,0.1892261,0.0126338,86,2,1,4484890,"$378,565"
3,2005,4,0.1695198,0.0090917,106,2,1,4484890,"$660,988"
3,2006,1,0.1713585,0.0092354,101,2,1,4350804,"$631,335"
3,2006,2,0.1705955,0.0105985,75,2,1,4350804,"$474,164"
3,2006,3,0.1647613,0.0103876,74,2,1,4350804,"$437,342"
3,2006,4,0.173928,0.0097809,96,2,1,4350804,"$587,667"
3,2007,1,0.1750939,0.006509,242,2,1,4363105,"$603,316"
3,2007,2,0.1853893,0.0073527,183,2,1,4363105,"$363,995"
3,2007,3,0.1891036,0.0088893,168,2,1,4363105,"$402,015"
3,2007,4,0.1845982,0.0068234,182,2,1,4363105,"$358,888"
3,2008,1,0.1725068,0.005456,226,2,1,4352196,"$565,340"
3,2008,2,0.1755834,0.0059355,215,2,1,4352196,"$484,706"
3,2008,3,0.1904255,0.0092102,164,2,1,4352196,"$531,682"
3,2008,4,0.1911024,0.0064115,181,2,1,4352196,"$471,437"
3,2009,1,0.2179312,0.0081063,195,2,1,4324109,"$724,791"
3,2009,2,0.2172781,0.0107266,153,2,1,4324109,"$545,909"
3,2009,3,0.2070683,0.0077134,155,2,1,4324109,"$505,091"
3,2009,4,0.2046305,0.008967,171,2,1,4324109,"$498,471"
3,2010,1,0.2249575,0.0121649,179,2,1,4309950,"$704,438"
3,2010,2,0.2148135,0.0130568,151,2,1,4309950,"$603,016"
3,2010,3,0.2257726,0.0183982,117,2,1,4309950,"$342,984"
3,2010,4,0.214652,0.0106231,137,2,1,4309950,"$566,368"
4,2004,1,0.1755071,0.0081389,76,2,1,3374038,"$838,500"
4,2004,2,0.1843981,0.0082286,59,2,1,3374038,"$580,608"
4,2004,3,0.1841321,0.0091795,55,2,1,3374038,"$571,334"
4,2004,4,0.1953045,0.0079719,72,2,1,3374038,"$743,075"
4,2005,1,0.1629181,0.0075235,64,2,1,3440965,"$648,130"
4,2005,2,0.1884388,0.0124888,33,2,1,3440965,"$425,500"
4,2005,3,0.1973829,0.0086933,54,2,1,3440965,"$523,323"
4,2005,4,0.1722364,0.009435,70,2,1,3440965,"$593,403"
4,2006,1,0.1850115,0.0114129,60,2,1,3464067,"$557,227"
4,2006,2,0.2180282,0.0100953,38,2,1,3464067,"$455,825"
4,2006,3,0.2112795,0.0101999,42,2,1,3464067,"$591,135"
4,2006,4,0.1930046,0.0117766,55,2,1,3464067,"$587,891"
4,2007,1,0.20529,0.0089545,93,2,1,3499158,"$644,195"
4,2007,2,0.2041075,0.0096355,62,2,1,3499158,"$428,615"
4,2007,3,0.2059505,0.0099027,66,2,1,3499158,"$524,155"
4,2007,4,0.223906,0.009046,70,2,1,3499158,"$536,945"
4,2008,1,0.1901316,0.0069617,96,2,1,3505935,"$812,725"
4,2008,2,0.1956384,0.0116887,84,2,1,3505935,"$422,989"
4,2008,3,0.2211666,0.0111599,74,2,1,3505935,"$528,126"
4,2008,4,0.2220665,0.0125077,79,2,1,3505935,"$674,606"
4,2009,1,0.2222732,0.0097723,89,2,1,3501037,"$716,980"
4,2009,2,0.2147819,0.0114286,69,2,1,3501037,"$527,285"
4,2009,3,0.2419045,0.0095322,69,2,1,3501037,"$549,786"
4,2009,4,0.2318845,0.0103205,80,2,1,3501037,"$740,936"
4,2010,1,0.2225896,0.0083934,93,2,1,3505825,"$700,897"
4,2010,2,0.243544,0.0123345,70,2,1,3505825,"$544,429"
4,2010,3,0.2330763,0.0101471,83,2,1,3505825,"$579,777"
4,2010,4,0.2302074,0.0094993,83,2,1,3505825,"$494,688"
5,2004,1,0.1608698,0.0053407,138,3,2,5418986,"$1,344,426"
5,2004,2,0.1770669,0.0057493,120,3,2,5418986,"$1,429,841"
5,2004,3,0.1703373,0.0066506,111,3,2,5418986,"$1,238,390"
5,2004,4,0.166181,0.0070179,110,3,2,5418986,"$1,065,200"
5,2005,1,0.1734549,0.0070504,122,3,2,5635860,"$974,518"
5,2005,2,0.1708037,0.0055938,116,3,2,5635860,"$1,445,797"
5,2005,3,0.1826854,0.0071814,103,3,2,5635860,"$1,086,846"
5,2005,4,0.1800886,0.0059174,119,3,2,5635860,"$1,111,740"
5,2006,1,0.1849875,0.0071505,118,3,2,5889043,"$872,809"
5,2006,2,0.1740112,0.0075096,102,3,2,5889043,"$805,879"
5,2006,3,0.1933907,0.0070689,111,3,2,5889043,"$1,078,609"
5,2006,4,0.1891983,0.0070373,125,3,2,5889043,"$1,327,521"
5,2007,1,0.185797,0.0044387,280,3,2,5922812,"$1,268,818"
5,2007,2,0.1777884,0.0055104,225,3,2,5922812,"$869,197"
5,2007,3,0.1939706,0.0046904,216,3,2,5922812,"$848,938"
5,2007,4,0.193221,0.0063881,228,3,2,5922812,"$1,036,787"
5,2008,1,0.1838887,0.005211,261,3,2,5936894,"$1,107,505"
5,2008,2,0.1795548,0.0056456,227,3,2,5936894,"$976,827"
5,2008,3,0.2112758,0.0090827,189,3,2,5936894,"$896,522"
5,2008,4,0.2147107,0.0078099,198,3,2,5936894,"$877,785"
5,2009,1,0.2031888,0.0064502,224,3,2,5949169,"$1,678,037"
5,2009,2,0.2158446,0.007775,195,3,2,5949169,"$1,318,251"
5,2009,3,0.2169105,0.0078946,186,3,2,5949169,"$1,049,299"
5,2009,4,0.2193147,0.0084612,184,3,2,5949169,"$1,181,992"
5,2010,1,0.1993375,0.0083731,222,3,2,5891526,"$1,061,756"
5,2010,2,0.2262481,0.0086275,175,3,2,5891526,"$1,162,405"
5,2010,3,0.2103911,0.0071524,175,3,2,5891526,"$1,039,267"
5,2010,4,0.2169923,0.0067134,172,3,2,5891526,"$831,904"
6,2004,1,0.1523205,0.0054607,241,4,2,4965387,"$631,053"
6,2004,2,0.1621394,0.0063751,190,4,2,4965387,"$505,730"
6,2004,3,0.1553768,0.006296,163,4,2,4965387,"$409,156"
6,2004,4,0.1638001,0.0070406,200,4,2,4965387,"$600,975"
6,2005,1,0.1728143,0.0063362,226,4,2,5008521,"$656,393"
6,2005,2,0.163449,0.0057727,178,4,2,5008521,"$644,998"
6,2005,3,0.176896,0.0049494,170,4,2,5008521,"$698,085"
6,2005,4,0.1620335,0.0045085,173,4,2,5008521,"$733,035"
6,2006,1,0.1610354,0.0053398,194,4,2,4960659,"$578,988"
6,2006,2,0.1642659,0.0073686,159,4,2,4960659,"$418,779"
6,2006,3,0.1702242,0.0068537,155,4,2,4960659,"$586,008"
6,2006,4,0.1691315,0.0049841,175,4,2,4960659,"$880,303"
6,2007,1,0.1684567,0.0042235,295,4,2,5181959,"$717,402"
6,2007,2,0.1780983,0.0066071,235,4,2,5181959,"$637,185"
6,2007,3,0.1790306,0.0060172,228,4,2,5181959,"$680,879"
6,2007,4,0.177096,0.006221,241,4,2,5181959,"$838,125"
6,2008,1,0.1736035,0.0042934,307,4,2,5261345,"$950,385"
6,2008,2,0.1857396,0.0063284,252,4,2,5261345,"$889,915"
6,2008,3,0.1912374,0.0074426,219,4,2,5261345,"$683,987"
6,2008,4,0.1985003,0.007595,222,4,2,5261345,"$756,417"
6,2009,1,0.2113147,0.0074676,240,4,2,5290628,"$948,250"
6,2009,2,0.2232969,0.0104085,204,4,2,5290628,"$821,338"
6,2009,3,0.2254831,0.0074025,195,4,2,5290628,"$734,707"
6,2009,4,0.2281331,0.0088552,191,4,2,5290628,"$890,239"
6,2010,1,0.21209,0.0061989,197,4,2,5294133,"$642,060"
6,2010,2,0.2192495,0.0074028,175,4,2,5294133,"$564,148"
6,2010,3,0.2205728,0.0083265,159,4,2,5294133,"$675,557"
6,2010,4,0.2111942,0.0077232,165,4,2,5294133,"$579,117"
7,2004,1,0.1471761,0.0074494,46,5,3,2483849,"$621,324"
7,2004,2,0.1719047,0.0099557,44,5,3,2483849,"$689,041"
7,2004,3,0.1627808,0.0084417,44,5,3,2483849,"$629,529"
7,2004,4,0.1943862,0.0119447,41,5,3,2483849,"$637,539"
7,2005,1,0.1677906,0.0110809,44,5,3,2388648,"$813,169"
7,2005,2,0.1807729,0.0115053,40,5,3,2388648,"$679,209"
7,2005,3,0.1782368,0.0098916,46,5,3,2388648,"$750,886"
7,2005,4,0.1778926,0.0118985,41,5,3,2388648,"$615,330"
7,2006,1,0.188373,0.011587,42,5,3,2523582,"$573,870"
7,2006,2,0.1859228,0.0105618,47,5,3,2523582,"$612,801"
7,2006,3,0.1909959,0.0111727,34,5,3,2523582,"$584,658"
7,2006,4,0.2050864,0.0153183,45,5,3,2523582,"$673,724"
7,2007,1,0.1822615,0.0070994,120,5,3,2256147,"$686,461"
7,2007,2,0.1817407,0.0067535,107,5,3,2256147,"$719,804"
7,2007,3,0.1906274,0.0081296,106,5,3,2256147,"$597,211"
7,2007,4,0.1936368,0.0083996,102,5,3,2256147,"$601,018"
7,2008,1,0.1818718,0.0088955,105,5,3,2318834,"$744,537"
7,2008,2,0.1936407,0.010221,101,5,3,2318834,"$877,655"
7,2008,3,0.2034528,0.0123335,109,5,3,2318834,"$1,207,991"
