fips,marketgroup,name
1001,10,"Autauga, AL"
1003,25,"Baldwin, AL"
1005,95,"Barbour, AL"
1007,10,"Bibb, AL"
1009,10,"Blount, AL"
1011,10,"Bullock, AL"
1013,10,"Butler, AL"
1015,10,"Calhoun, AL"
1017,24,"Chambers, AL"
1019,24,"Cherokee, AL"
1021,10,"Chilton, AL"
1023,96,"Choctaw, AL"
1025,96,"Clarke, AL"
1027,10,"Clay, AL"
1029,24,"Cleburne, AL"
1031,95,"Coffee, AL"
1033,10,"Colbert, AL"
1035,96,"Conecuh, AL"
1037,10,"Coosa, AL"
1039,10,"Covington, AL"
1041,10,"Crenshaw, AL"
1043,10,"Cullman, AL"
1045,95,"Dale, AL"
1047,10,"Dallas, AL"
1049,10,"De Kalb, AL"
1051,10,"Elmore, AL"
1053,96,"Escambia, AL"
1055,10,"Etowah, AL"
1057,10,"Fayette, AL"
1059,10,"Franklin, AL"
1061,95,"Geneva, AL"
1063,10,"Greene, AL"
1065,10,"Hale, AL"
1067,95,"Henry, AL"
1069,95,"Houston, AL"
1071,95,"Jackson, AL"
1073,10,"Jefferson, AL"
1075,96,"Lamar, AL"
1077,10,"Lauderdale, AL"
1079,10,"Lawrence, AL"
1081,95,"Lee, AL"
1083,10,"Limestone, AL"
1085,10,"Lowndes, AL"
1087,10,"Macon, AL"
1089,10,"Madison, AL"
1091,96,"Marengo, AL"
1093,10,"Marion, AL"
1095,10,"Marshall, AL"
1097,25,"Mobile, AL"
1099,96,"Monroe, AL"
1101,10,"Montgomery, AL"
1103,10,"Morgan, AL"
1105,10,"Perry, AL"
1107,96,"Pickens, AL"
1109,10,"Pike, AL"
1111,24,"Randolph, AL"
1113,95,"Russell, AL"
1115,10,"St Clair, AL"
1117,10,"Shelby, AL"
1119,96,"Sumter, AL"
1121,10,"Talladega, AL"
1123,10,"Tallapoosa, AL"
1125,10,"Tuscaloosa, AL"
1127,10,"Walker, AL"
1129,96,"Washington, AL"
1131,10,"Wilcox, AL"
1133,10,"Winston, AL"
4001,12,"Apache, AZ"
4003,12,"Cochise, AZ"
4005,12,"Coconino, AZ"
4007,12,"Gila, AZ"
4009,12,"Graham, AZ"
4011,12,"Greenlee, AZ"
4012,12,"La Paz, AZ"
4013,12,"Maricopa, AZ"
4015,12,"Mohave, AZ"
4017,12,"Navajo, AZ"
4019,12,"Pima, AZ"
4021,12,"Pinal, AZ"
4023,12,"Santa Cruz, AZ"
4025,12,"Yavapai, AZ"
4027,12,"Yuma, AZ"
5001,11,"Arkansas, AR"
5003,97,"Ashley, AR"
5005,94,"Baxter, AR"
5007,94,"Benton, AR"
5009,94,"Boone, AR"
5011,11,"Bradley, AR"
5013,11,"Calhoun, AR"
5015,94,"Carroll, AR"
5017,11,"Chicot, AR"
5019,11,"Clark, AR"
5021,10,"Clay, AR"
5023,11,"Cleburne, AR"
5025,11,"Cleveland, AR"
5027,97,"Columbia, AR"
5029,11,"Conway, AR"
5031,10,"Craighead, AR"
5033,11,"Crawford, AR"
5035,10,"Crittenden, AR"
5037,10,"Cross, AR"
5039,11,"Dallas, AR"
5041,11,"Desha, AR"
5043,11,"Drew, AR"
5045,11,"Faulkner, AR"
5047,11,"Franklin, AR"
5049,94,"Fulton, AR"
5051,11,"Garland, AR"
5053,11,"Grant, AR"
5055,10,"Greene, AR"
5057,97,"Hempstead, AR"
5059,11,"Hot Spring, AR"
5061,97,"Howard, AR"
5063,11,"Independence, AR"
5065,11,"Izard, AR"
5067,11,"Jackson, AR"
5069,11,"Jefferson, AR"
5071,11,"Johnson, AR"
5073,97,"Lafayette, AR"
5075,10,"Lawrence, AR"
5077,10,"Lee, AR"
5079,11,"Lincoln, AR"
5081,97,"Little River, AR"
5083,11,"Logan, AR"
5085,11,"Lonoke, AR"
5087,94,"Madison, AR"
5089,94,"Marion, AR"
5091,97,"Miller, AR"
5093,10,"Mississippi, AR"
5095,11,"Monroe, AR"
5097,11,"Montgomery, AR"
5099,11,"Nevada, AR"
5101,94,"Newton, AR"
5103,11,"Ouachita, AR"
5105,11,"Perry, AR"
5107,10,"Phillips, AR"
5109,11,"Pike, AR"
5111,10,"Poinsett, AR"
5113,11,"Polk, AR"
5115,11,"Pope, AR"
5117,11,"Prairie, AR"
5119,11,"Pulaski, AR"
5121,10,"Randolph, AR"
5123,10,"St Francis, AR"
5125,11,"Saline, AR"
5127,11,"Scott, AR"
5129,11,"Searcy, AR"
5131,11,"Sebastian, AR"
5133,97,"Sevier, AR"
5135,10,"Sharp, AR"
5137,11,"Stone, AR"
5139,97,"Union, AR"
5141,11,"Van Buren, AR"
5143,11,"Washington, AR"
5145,11,"White, AR"
5147,11,"Woodruff, AR"
5149,11,"Yell, AR"
6001,23,"Alameda, CA"
6003,14,"Alpine, CA"
6005,14,"Amador, CA"
6007,99,"Butte, CA"
6009,14,"Calaveras, CA"
6011,14,"Colusa, CA"
6013,23,"Contra Costa, CA"
6015,99,"Del Norte, CA"
6017,14,"El Dorado, CA"
6019,99,"Fresno, CA"
6021,99,"Glenn, CA"
6023,99,"Humboldt, CA"
6025,99,"Imperial, CA"
6027,99,"Inyo, CA"
6029,99,"Kern, CA"
6031,99,"Kings, CA"
6033,23,"Lake, CA"
6035,99,"Lassen, CA"
6037,15,"Los Angeles, CA"
6039,99,"Madera, CA"
