item,2008,2009,2010,2011,2012,2013,2014
Whole Grains,10.2,3.2,-0.8,3.9,2.8,1,0.2
Refined Grains,10.2,3.2,-0.8,3.9,2.8,1,0.2
All Potatoes,6.2,-2.1,0.2,4.1,-0.6,2.5,1.5
Dark Green Vegetables,6.2,-2.1,0.2,4.1,-0.6,2.5,1.5
Orange Vegetables,6.2,-2.1,0.2,4.1,-0.6,2.5,1.5
Beans & Legumes,6.2,-2.1,0.2,4.1,-0.6,2.5,1.5
Other Vegetables,6.2,-2.1,0.2,4.1,-0.6,2.5,1.5
Whole Fruit,6.2,-2.1,0.2,4.1,-0.6,2.5,1.5
Fruit Juice,6.2,-2.1,0.2,4.1,-0.6,2.5,1.5
"Whole Milk, Yogurt",8,-6.4,1.1,6.8,2.1,0.1,3.6
"Low-fat Milk, Yogurt",8,-6.4,1.1,6.8,2.1,0.1,3.6
Cheese,8,-6.4,1.1,6.8,2.1,0.1,3.6
Milk Dessert,8,-6.4,1.1,6.8,2.1,0.1,3.6
"Beef, Pork, etc.",3.5,-0.6,2.8,8.8,3.4,1.2,9.2
Poultry,5,1.7,-0.1,2.9,5.5,4.7,2
Fish,5.9,3.6,1.1,7.1,2.4,2.5,5.8
Nuts,5.2,3.7,-0.5,2.3,3.5,0.5,1
Eggs,14,-14.7,1.5,9.2,3.2,3.3,8.4
Fats & Oils,13.8,2.3,-0.3,9.3,6.1,-1.4,0.1
Soft Drinks,4.3,1.9,-0.9,3.2,1.1,-1,-0.5
Sweets,5.5,5.6,2.2,3.3,3.3,-1.7,-0.8
Soups,5.2,3.7,-0.5,2.3,3.5,0.5,1
Frozen Entree,5.2,3.7,-0.5,2.3,3.5,0.5,1
