foodgroup,marketgroup,year,quarter,price,se,n,division,region,aggweight,totexp
1,1,2010,4,0.4985895,0.027578,368,1,1,1274081,1.244661452E7
1,2,2010,4,0.6147185,0.027717,417,2,1,3144836,2.491057307E7
1,3,2010,4,0.4609895,0.0125,1998,2,1,4309950,3.472076678E7
1,4,2010,4,0.4665182,0.014628,1150,2,1,3505825,3.052247753E7
1,5,2010,4,0.4355011,0.009957,2366,3,2,5891526,5.264995794E7
1,6,2010,4,0.5024437,0.012064,2456,4,2,5294133,5.218450371E7
1,7,2010,4,0.511057,0.021071,760,5,3,2355997,1.934811531E7
1,8,2010,4,0.4462719,0.012835,1563,5,3,4541935,3.56374012E7
1,9,2010,4,0.5376585,0.028332,389,5,3,1147058,1.100591034E7
1,10,2010,4,0.4255319,0.012981,1395,6,3,4682422,3.219839721E7
1,11,2010,4,0.4307862,0.017665,584,7,3,2120144,1.298882264E7
1,12,2010,4,0.5203784,0.014455,1736,8,4,4332866,4.325642163E7
1,13,2010,4,0.4506376,0.022916,357,8,4,1435057,1.19342623E7
1,14,2010,4,0.5593824,0.025744,982,9,4,2523353,2.738388116E7
1,15,2010,4,0.4993678,0.01831,1295,9,4,5760010,5.990733977E7
1,16,2010,4,0.4332113,0.011445,1341,3,2,3380809,3.41182821E7
1,17,2010,4,0.507107,0.01344,1763,5,3,4798150,4.398144665E7
1,18,2010,4,0.582518,0.035371,577,7,3,1581901,1.334667676E7
1,19,2010,4,0.5818057,0.01563,1092,1,1,3164086,3.382849384E7
1,20,2010,4,0.5181283,0.017397,1161,2,1,4407152,4.610087405E7
1,21,2010,4,0.4676832,0.011832,1921,3,2,4364813,3.538274077E7
1,22,2010,4,0.4547725,0.014502,1181,9,4,3457822,3.445512315E7
1,23,2010,4,0.5588699,0.019932,751,9,4,2731144,3.883747632E7
1,24,2010,4,0.424953,0.017357,803,5,3,2573463,2.162517312E7
1,25,2010,4,0.5134534,0.014709,1833,7,3,6637076,5.195015443E7
1,26,2010,4,0.5743672,0.018266,867,5,3,2817007,3.41828049E7
1,91,2010,4,0.6571261,0.045104,274,1,1,912050,1.115040341E7
1,92,2010,4,0.4864635,0.025993,346,2,1,1023050,7151982.245
1,93,2010,4,0.41811,0.010819,1651,3,2,4433415,3.364264606E7
1,94,2010,4,0.4936835,0.017725,1023,4,2,3442838,2.146375404E7
1,95,2010,4,0.4433326,0.015415,1312,5,3,5422375,3.652242015E7
1,96,2010,4,0.4660728,0.022442,648,6,3,2376012,1.451242601E7
1,97,2010,4,0.443,0.018196,855,7,3,3576243,2.038487825E7
1,98,2010,4,0.4986168,0.019891,675,8,4,2653240,1.98798513E7
1,99,2010,4,0.4588466,0.025576,626,9,4,2749702,2.31374043E7
10,1,2010,4,0.5771349,0.02261,208,1,1,1274081,3280237.824
10,2,2010,4,0.6357004,0.024018,201,2,1,3144836,5416434.373
10,3,2010,4,0.6223434,0.013664,861,2,1,4309950,5762197.161
10,4,2010,4,0.5407877,0.013027,527,2,1,3505825,5481141.337
10,5,2010,4,0.5763842,0.013132,1121,3,2,5891526,1.048693329E7
10,6,2010,4,0.5765128,0.014748,1155,4,2,5294133,8955428.858
10,7,2010,4,0.5514105,0.022189,435,5,3,2355997,4889102.943
10,8,2010,4,0.5681802,0.015681,728,5,3,4541935,6825244.068
10,9,2010,4,0.5621909,0.028695,190,5,3,1147058,2231861.386
10,10,2010,4,0.54904,0.01898,603,6,3,4682422,5808050.941
10,11,2010,4,0.5840753,0.029834,290,7,3,2120144,2205425.168
10,12,2010,4,0.6117561,0.02267,794,8,4,4332866,7417783.598
10,13,2010,4,0.6056992,0.039901,135,8,4,1435057,2365003.309
10,14,2010,4,0.5988492,0.025161,458,9,4,2523353,4182039.713
10,15,2010,4,0.5244161,0.020812,576,9,4,5760010,8998483.148
10,16,2010,4,0.5740248,0.019691,667,3,2,3380809,6516647.345
10,17,2010,4,0.5896282,0.012559,980,5,3,4798150,1.054372045E7
10,18,2010,4,0.6309186,0.033947,281,7,3,1581901,2484676.199
10,19,2010,4,0.5766598,0.012598,609,1,1,3164086,7409521.359
10,20,2010,4,0.5538658,0.013916,616,2,1,4407152,9991665.981
10,21,2010,4,0.5512754,0.014788,877,3,2,4364813,6410892.691
10,22,2010,4,0.6092353,0.022267,536,9,4,3457822,4909256.077
10,23,2010,4,0.6514297,0.029929,269,9,4,2731144,5909053.148
10,24,2010,4,0.501476,0.019099,354,5,3,2573463,3573372.819
10,25,2010,4,0.617095,0.018887,867,7,3,6637076,9650913.346
10,26,2010,4,0.6258661,0.016117,406,5,3,2817007,7031556.731
10,91,2010,4,0.6075284,0.033373,131,1,1,912050,1845136.225
10,92,2010,4,0.5508058,0.021714,164,2,1,1023050,1635040.189
10,93,2010,4,0.5228825,0.014753,772,3,2,4433415,6468483.882
10,94,2010,4,0.5461197,0.021049,441,4,2,3442838,3823953.911
10,95,2010,4,0.5329657,0.014013,619,5,3,5422375,6878089.112
10,96,2010,4,0.5870804,0.021648,265,6,3,2376012,2560549.11
10,97,2010,4,0.5770952,0.028536,370,7,3,3576243,4083807.061
10,98,2010,4,0.5410852,0.025356,291,8,4,2653240,3223473.102
10,99,2010,4,0.6096785,0.037396,260,9,4,2749702,5238227.657
11,1,2010,4,0.3172396,0.02339,262,1,1,1274081,2626256.299
11,2,2010,4,0.3060637,0.018168,236,2,1,3144836,4622837.855
11,3,2010,4,0.2604502,0.008312,1366,2,1,4309950,9289918.384
11,4,2010,4,0.2699303,0.010036,740,2,1,3505825,6287904.025
11,5,2010,4,0.25841,0.005639,1554,3,2,5891526,1.104050534E7
11,6,2010,4,0.257407,0.005724,1671,4,2,5294133,1.104956719E7
11,7,2010,4,0.2724365,0.009666,557,5,3,2355997,4985255.198
11,8,2010,4,0.2690378,0.007014,1107,5,3,4541935,8994783.145
11,9,2010,4,0.298858,0.017986,258,5,3,1147058,2423352.566
11,10,2010,4,0.2681223,0.00948,1207,6,3,4682422,1.049931953E7
11,11,2010,4,0.2587418,0.008343,588,7,3,2120144,5157225.547
11,12,2010,4,0.289836,0.009102,1164,8,4,4332866,9955751.084
11,13,2010,4,0.2598383,0.014889,216,8,4,1435057,2702322.951
11,14,2010,4,0.3576236,0.015462,559,9,4,2523353,5109454.117
11,15,2010,4,0.321229,0.012944,705,9,4,5760010,1.003359403E7
11,16,2010,4,0.2745525,0.00973,838,3,2,3380809,6020847.671
11,17,2010,4,0.2981546,0.008331,1235,5,3,4798150,1.024299143E7
11,18,2010,4,0.2533487,0.012298,491,7,3,1581901,3062938.848
11,19,2010,4,0.2798643,0.008901,721,1,1,3164086,8610654.43
11,20,2010,4,0.321497,0.011727,792,2,1,4407152,1.227544692E7
11,21,2010,4,0.2433499,0.005539,1243,3,2,4364813,7379038.661
11,22,2010,4,0.3534992,0.015223,659,9,4,3457822,5381313.008
11,23,2010,4,0.4179381,0.021936,365,9,4,2731144,4516719.206
11,24,2010,4,0.2563828,0.008707,591,5,3,2573463,5283521.086
11,25,2010,4,0.2771596,0.005577,1509,7,3,6637076,1.469224055E7
11,26,2010,4,0.3249651,0.014326,505,5,3,2817007,4911301.432
11,91,2010,4,0.3092422,0.023756,187,1,1,912050,1896781.441
11,92,2010,4,0.2413481,0.012022,243,2,1,1023050,1865984.491
11,93,2010,4,0.2658646,0.00682,1113,3,2,4433415,8229925.395
11,94,2010,4,0.2490053,0.005972,807,4,2,3442838,5994430.719
11,95,2010,4,0.2539125,0.005335,1092,5,3,5422375,1.069701591E7
11,96,2010,4,0.2703717,0.009576,566,6,3,2376012,4667781.935
11,97,2010,4,0.2603551,0.009017,760,7,3,3576243,7166012.575
11,98,2010,4,0.3046111,0.018403,488,8,4,2653240,4818340.945
11,99,2010,4,0.367434,0.024924,395,9,4,2749702,5475238.195
12,1,2010,4,0.3744293,0.012335,444,1,1,1274081,1.02064702E7
12,2,2010,4,0.4252835,0.016231,462,2,1,3144836,1.644611472E7
12,3,2010,4,0.3703718,0.006769,2333,2,1,4309950,2.723181844E7
12,4,2010,4,0.4037122,0.008862,1377,2,1,3505825,2.326833678E7
12,5,2010,4,0.3269348,0.005314,2575,3,2,5891526,3.218081102E7
12,6,2010,4,0.3395229,0.006386,2742,4,2,5294133,3.125983256E7
12,7,2010,4,0.4038399,0.013126,883,5,3,2355997,1.487733001E7
12,8,2010,4,0.3746148,0.00983,1756,5,3,4541935,2.355217163E7
12,9,2010,4,0.3523973,0.01148,447,5,3,1147058,8139829.117
12,10,2010,4,0.322413,0.007003,1611,6,3,4682422,2.031075681E7
12,11,2010,4,0.3392092,0.011257,722,7,3,2120144,7495671.74
12,12,2010,4,0.437153,0.011411,1717,8,4,4332866,1.969091232E7
12,13,2010,4,0.4034507,0.018757,372,8,4,1435057,5776132.996
12,14,2010,4,0.4507982,0.015922,974,9,4,2523353,1.226471083E7
12,15,2010,4,0.453748,0.014956,1226,9,4,5760010,2.529001876E7
12,16,2010,4,0.332669,0.007984,1388,3,2,3380809,16739360
12,17,2010,4,0.4128382,0.008144,2064,5,3,4798150,3.216628229E7
12,18,2010,4,0.370222,0.016754,634,7,3,1581901,6978208.117
12,19,2010,4,0.4203251,0.008546,1261,1,1,3164086,2.58079392E7
12,20,2010,4,0.4097282,0.008054,1332,2,1,4407152,3.746449023E7
12,21,2010,4,0.3644299,0.007539,2127,3,2,4364813,2.343507016E7
12,22,2010,4,0.4234768,0.011709,1106,9,4,3457822,1.329305843E7
12,23,2010,4,0.5216109,0.019298,655,9,4,2731144,1.511110396E7
12,24,2010,4,0.3758416,0.010932,882,5,3,2573463,1.378524971E7
12,25,2010,4,0.3760606,0.00884,2055,7,3,6637076,2.84329591E7
12,26,2010,4,0.4302579,0.01059,935,5,3,2817007,1.904682681E7
12,91,2010,4,0.4314606,0.017248,361,1,1,912050,8305231.199
