foodgroup,1 year,2-3 years,4-5 years,6-8 years,9-11 years
Whole Grains,1.25,1.19,1.51,1.21,1.77
Refined Grains,0.22,0.65,0.84,1.19,0.76
All Potatoes,0.52,0.85,0.65,0.29,1.07
Dark Green Vegetables,0.41,0.72,0.81,0.81,2.38
Orange Vegetables,0.21,0.29,1,0.52,2.4
Beans & Legumes,0.37,0.75,0.51,0.89,1.2
Other Vegetables,3.49,1.47,0.67,2.66,2.69
Whole Fruit,1.58,1.37,3.59,2.8,3.97
Fruit Juice,1.32,2.29,0.81,1.82,1.86
"Whole Milk, Yogurt",7.44,0.14,0.32,0.41,0.97
"Low-fat Milk, Yogurt",0,7.47,7.71,7.2,10.81
Cheese,0.01,0,0.02,0.02,0.01
Milk Dessert,0.01,0,0,0.06,0
"Beef, Pork, etc.",0.23,0.11,0.35,1.37,1
Poultry,0.03,0.02,0.38,0.33,0.49
Fish,0.24,0.46,0.83,0.24,0.46
Nuts,0.13,0.23,0.19,0.26,0.43
Eggs,0,0.06,0.03,0.17,0.28
Fats & Oils,0.24,0.16,0.36,0.21,0.36
Soft Drinks,0.04,0.03,0,0.16,0.02
Sweets,0.01,0.01,0.01,0.03,0.02
Soups,1.43,0.39,1.14,0.95,0.69
Frozen Entree,0.06,0.01,0,0.02,0.01
