foodgroup,12-13 years,14-18 years,19-50 years,51-70 years,71+ years
Whole Grains,1.84,2.17,1.63,1.75,1.54
Refined Grains,1.13,1.47,1.14,1.33,0.96
All Potatoes,1,1.68,2.05,1.75,0.58
Dark Green Vegetables,1.54,1.12,1.29,2.12,5.97
Orange Vegetables,0.62,0.38,1.19,0.53,0.56
Beans & Legumes,1.6,1.31,0.93,1.32,1.12
Other Vegetables,1.42,2.71,1.94,2.72,2.79
Whole Fruit,5.28,5.03,5.16,8.02,3.89
Fruit Juice,0.25,0.47,0.46,0.38,0.39
"Whole Milk, Yogurt",1.84,0.47,0.2,0.21,0.18
"Low-fat Milk, Yogurt",10.55,11.99,11.31,11.32,10.79
Cheese,0,0.1,0.03,0,0.02
Milk Dessert,0,0,0,0,0
"Beef, Pork, etc.",0.29,0.84,0.65,0.67,0.7
Poultry,0.75,0.02,2.67,2.57,1.74
Fish,0.63,0.29,0.43,0.45,0.25
Nuts,0.29,0.42,0.47,0.42,0.43
Eggs,0.37,0.06,0.06,0.13,0.03
Fats & Oils,0.54,0.42,0.55,0.48,0.24
Soft Drinks,0,0.12,0.02,0.08,0.02
Sweets,0.05,0.01,0.04,0.03,0.03
Soups,2.19,1.71,1.31,0.83,0.42
Frozen Entree,0,0.01,0,0,0
