marketgroup,monthly_tfp
1,220.40913256911767
2,245.19533273657956
3,184.01190214129642
4,200.19928468529767
5,178.52729424911666
6,176.26508257973737
7,182.79937966338582
8,183.2700215350345
9,204.38410233464398
10,171.10377600665603
11,175.83659240797903
12,178.82451493482455
13,184.05898831838277
14,195.03054060467858
15,200.516943206571
16,185.51027278191745
17,204.30269489970738
18,164.38638382941014
19,202.56668271656474
20,211.25337721770015
21,182.45800107290225
22,183.2404541080402
23,212.24081552141874
24,168.23005305756146
25,175.57573966124482
26,199.66961437909512
91,203.86452420029457
92,195.92555365767734
93,171.15346134499737
94,175.24271076677948
95,177.72800494445892
96,177.74840403120538
97,166.08061624315934
98,186.83315498879318
99,192.05309981345147
