FIPS,MARKETGROUP26
1001,10
1003,25
1005,95
1007,10
1009,10
1011,10
1013,10
1015,10
1017,24
1019,24
1021,10
1023,96
1025,96
1027,10
1029,24
1031,95
1033,10
1035,96
1037,10
1039,10
1041,10
1043,10
1045,95
1047,10
1049,10
1051,10
1053,96
1055,10
1057,10
1059,10
1061,95
1063,10
1065,10
1067,95
1069,95
1071,95
1073,10
1075,96
1077,10
1079,10
1081,95
1083,10
1085,10
1087,10
1089,10
1091,96
1093,10
1095,10
1097,25
1099,96
1101,10
1103,10
1105,10
1107,96
1109,10
1111,24
1113,95
1115,10
1117,10
1119,96
1121,10
1123,10
1125,10
1127,10
1129,96
1131,10
1133,10
4001,12
4003,12
4005,12
4007,12
4009,12
4011,12
4012,12
4013,12
4015,12
4017,12
4019,12
4021,12
4023,12
4025,12
4027,12
5001,11
5003,97
5005,94
5007,94
5009,94
5011,11
5013,11
5015,94
5017,11
5019,11
5021,10
5023,11
5025,11
5027,97
5029,11
5031,10
5033,11
5035,10
5037,10
5039,11
5041,11
5043,11
5045,11
5047,11
5049,94
5051,11
5053,11
5055,10
5057,97
5059,11
5061,97
5063,11
5065,11
5067,11
5069,11
5071,11
5073,97
5075,10
5077,10
5079,11
5081,97
5083,11
5085,11
5087,94
5089,94
5091,97
5093,10
5095,11
5097,11
5099,11
5101,94
5103,11
5105,11
5107,10
5109,11
5111,10
5113,11
5115,11
5117,11
5119,11
5121,10
5123,10
5125,11
5127,11
5129,11
5131,11
5133,97
5135,10
5137,11
5139,97
5141,11
5143,11
5145,11
5147,11
5149,11
6001,23
6003,14
6005,14
6007,99
6009,14
6011,14
6013,23
6015,99
6017,14
6019,99
6021,99
6023,99
6025,99
6027,99
6029,99
6031,99
6033,23
6035,99
6037,15
6039,99
6041,23
6043,99
6045,23
6047,99
6049,99
6051,14
6053,99
6055,23
6057,14
6059,15
6061,14
6063,14
6065,15
6067,14
6069,99
6071,15
6073,14
6075,23
6077,14
6079,99
6081,23
6083,99
6085,23
6087,99
6089,99
6091,14
6093,99
6095,23
6097,23
6099,14
6101,14
6103,99
6105,99
6107,99
6109,14
6111,99
6113,14
6115,14
8001,12
8003,98
8005,12
8007,98
8009,98
8011,98
8013,12
8014,12
8015,12
8017,98
8019,12
8021,98
8023,98
8025,98
8027,98
8029,98
8031,12
8033,98
8035,12
8037,12
8039,12
8041,12
8043,98
8045,98
8047,12
8049,12
8051,98
8053,98
8055,98
8057,98
8059,12
8061,98
8063,98
8065,12
8067,98
8069,12
8071,98
8073,12
8075,12
8077,98
8079,98
8081,12
8083,98
8085,98
8087,12
8089,98
8091,98
8093,12
8095,98
8097,98
8099,98
8101,12
8103,98
8105,98
8107,12
8109,98
8111,98
8113,98
8115,98
8117,12
8119,12
8121,12
8123,12
8125,98
9001,20
9003,1
9005,1
9007,1
9009,1
9011,1
9013,1
9015,19
10001,4
10003,4
10005,26
11001,26
12001,7
12003,7
12005,95
12007,7
12009,7
12011,17
12013,95
12015,17
12017,17
12019,7
12021,17
12023,7
12027,17
12029,95
12031,7
12033,95
12035,7
12037,95
12039,95
12041,7
12043,17
12045,95
12047,7
12049,17
12051,17
12053,17
12055,17
12057,17
12059,95
12061,17
12063,95
12065,95
12067,95
12069,7
12071,17
12073,95
12075,95
12077,95
12079,95
12081,17
12083,7
12085,17
12086,17
12087,17
12089,7
12091,95
12093,17
12095,7
12097,7
12099,17
12101,17
12103,17
12105,17
12107,7
12109,7
12111,17
12113,95
12115,17
12117,7
12119,7
12121,7
12123,95
12125,7
12127,7
12129,95
12131,95
12133,95
13001,95
13003,95
13005,7
13007,95
13009,24
13011,24
13013,24
13015,24
13017,95
13019,95
13021,95
13023,95
13025,7
13027,95
13029,95
13031,95
13033,95
13035,24
13037,95
13039,7
13043,95
13045,24
13047,95
13049,7
13051,95
13053,95
13055,24
13057,24
13059,24
13061,95
13063,24
13065,7
13067,24
13069,95
13071,95
13073,95
13075,95
13077,24
13079,95
13081,95
13083,95
13085,24
13087,95
13089,24
13091,95
13093,95
13095,95
13097,24
13099,95
13101,95
13103,95
13105,95
13107,95
13109,95
13111,24
13113,24
13115,24
13117,24
13119,95
13121,24
13123,24
13125,95
13127,7
13129,24
13131,95
13133,24
13135,24
13137,95
13139,24
13141,24
13143,24
13145,24
13147,95
13149,24
13151,24
13153,95
13155,95
13157,24
13159,24
13161,95
