marketgroup,year,quarter,price,foodgroup
1,2010,4,0.4985895,1
2,2010,4,0.6147185,1
3,2010,4,0.4609895,1
4,2010,4,0.4665182,1
5,2010,4,0.4355011,1
6,2010,4,0.5024437,1
7,2010,4,0.511057,1
8,2010,4,0.4462719,1
9,2010,4,0.5376585,1
10,2010,4,0.4255319,1
11,2010,4,0.4307862,1
12,2010,4,0.5203784,1
13,2010,4,0.4506376,1
14,2010,4,0.5593824,1
15,2010,4,0.4993678,1
16,2010,4,0.4332113,1
17,2010,4,0.507107,1
18,2010,4,0.582518,1
19,2010,4,0.5818057,1
20,2010,4,0.5181283,1
21,2010,4,0.4676832,1
22,2010,4,0.4547725,1
23,2010,4,0.5588699,1
24,2010,4,0.424953,1
25,2010,4,0.5134534,1
26,2010,4,0.5743672,1
91,2010,4,0.6571261,1
92,2010,4,0.4864635,1
93,2010,4,0.41811,1
94,2010,4,0.4936835,1
95,2010,4,0.4433326,1
96,2010,4,0.4660728,1
97,2010,4,0.443,1
98,2010,4,0.4986168,1
99,2010,4,0.4588466,1
1,2010,4,0.5771349,10
2,2010,4,0.6357004,10
3,2010,4,0.6223434,10
4,2010,4,0.5407877,10
5,2010,4,0.5763842,10
6,2010,4,0.5765128,10
7,2010,4,0.5514105,10
8,2010,4,0.5681802,10
9,2010,4,0.5621909,10
10,2010,4,0.54904,10
11,2010,4,0.5840753,10
12,2010,4,0.6117561,10
13,2010,4,0.6056992,10
14,2010,4,0.5988492,10
15,2010,4,0.5244161,10
16,2010,4,0.5740248,10
17,2010,4,0.5896282,10
18,2010,4,0.6309186,10
19,2010,4,0.5766598,10
20,2010,4,0.5538658,10
21,2010,4,0.5512754,10
22,2010,4,0.6092353,10
23,2010,4,0.6514297,10
24,2010,4,0.501476,10
25,2010,4,0.617095,10
26,2010,4,0.6258661,10
91,2010,4,0.6075284,10
92,2010,4,0.5508058,10
93,2010,4,0.5228825,10
94,2010,4,0.5461197,10
95,2010,4,0.5329657,10
96,2010,4,0.5870804,10
97,2010,4,0.5770952,10
98,2010,4,0.5410852,10
99,2010,4,0.6096785,10
1,2010,4,0.3172396,11
2,2010,4,0.3060637,11
3,2010,4,0.2604502,11
4,2010,4,0.2699303,11
5,2010,4,0.25841,11
6,2010,4,0.257407,11
7,2010,4,0.2724365,11
8,2010,4,0.2690378,11
9,2010,4,0.298858,11
10,2010,4,0.2681223,11
11,2010,4,0.2587418,11
12,2010,4,0.289836,11
13,2010,4,0.2598383,11
14,2010,4,0.3576236,11
15,2010,4,0.321229,11
16,2010,4,0.2745525,11
17,2010,4,0.2981546,11
18,2010,4,0.2533487,11
19,2010,4,0.2798643,11
20,2010,4,0.321497,11
21,2010,4,0.2433499,11
22,2010,4,0.3534992,11
23,2010,4,0.4179381,11
24,2010,4,0.2563828,11
25,2010,4,0.2771596,11
