marketgroup,year,quarter,price,se,n,division,region,aggweight,totexp
1,2004,1,0.2549008,0.016939,114,1,1,1050612,"$1,697,219"
1,2004,2,0.2859526,0.0215118,94,1,1,1050612,"$1,489,952"
1,2004,3,0.2821348,0.0272149,78,1,1,1050612,"$1,179,767"
1,2004,4,0.2419018,0.0224351,98,1,1,1050612,"$1,545,670"
1,2005,1,0.2566874,0.0181286,97,1,1,1077312,"$1,996,625"
1,2005,2,0.3161946,0.0256067,68,1,1,1077312,"$1,187,389"
1,2005,3,0.3163999,0.0318235,79,1,1,1077312,"$1,504,929"
1,2005,4,0.2958368,0.0303804,98,1,1,1077312,"$2,419,584"
1,2006,1,0.2883037,0.0299283,88,1,1,1220140,"$1,863,775"
1,2006,2,0.2372533,0.0193194,77,1,1,1220140,"$1,896,770"
1,2006,3,0.3004103,0.0257001,80,1,1,1220140,"$2,021,872"
1,2006,4,0.3009537,0.0291462,100,1,1,1220140,"$2,972,647"
1,2007,1,0.3009978,0.0191173,246,1,1,1291963,"$2,375,643"
1,2007,2,0.2869629,0.0162382,231,1,1,1291963,"$1,793,922"
1,2007,3,0.3050244,0.0178696,216,1,1,1291963,"$1,662,234"
1,2007,4,0.2819722,0.0187078,228,1,1,1291963,"$1,862,276"
1,2008,1,0.2787628,0.0180989,242,1,1,1284004,"$2,471,345"
1,2008,2,0.3224908,0.0228496,194,1,1,1284004,"$1,737,133"
1,2008,3,0.3303917,0.0207347,213,1,1,1284004,"$1,945,497"
1,2008,4,0.322174,0.0173575,247,1,1,1284004,"$2,211,512"
1,2009,1,0.3361016,0.0168128,275,1,1,1282035,"$3,702,255"
1,2009,2,0.3458234,0.0234687,215,1,1,1282035,"$2,312,077"
1,2009,3,0.3317419,0.0199245,210,1,1,1282035,"$2,357,877"
1,2009,4,0.3078536,0.0149164,246,1,1,1282035,"$2,555,072"
1,2010,1,0.2971594,0.0163505,248,1,1,1274081,"$2,584,055"
1,2010,2,0.3034917,0.0189258,212,1,1,1274081,"$1,723,345"
1,2010,3,0.3099521,0.0169471,216,1,1,1274081,"$1,708,078"
1,2010,4,0.3388057,0.0217144,228,1,1,1274081,"$2,158,461"
2,2004,1,0.2693662,0.0158162,193,2,1,3236766,"$4,246,599"
2,2004,2,0.2750442,0.0191234,190,2,1,3236766,"$3,979,242"
2,2004,3,0.2872143,0.0168638,185,2,1,3236766,"$3,978,698"
2,2004,4,0.2843908,0.0191245,187,2,1,3236766,"$4,192,043"
2,2005,1,0.3179186,0.0225889,188,2,1,3237397,"$3,579,081"
2,2005,2,0.3157548,0.0215421,186,2,1,3237397,"$3,641,526"
2,2005,3,0.2887346,0.017227,182,2,1,3237397,"$3,907,901"
2,2005,4,0.2949202,0.0195827,194,2,1,3237397,"$4,139,658"
2,2006,1,0.2925645,0.0206172,179,2,1,3296844,"$4,600,086"
2,2006,2,0.3085513,0.0264988,178,2,1,3296844,"$4,079,447"
2,2006,3,0.3238537,0.0221949,187,2,1,3296844,"$4,422,643"
2,2006,4,0.3365736,0.0242085,178,2,1,3296844,"$4,872,638"
2,2007,1,0.2998637,0.0139798,238,2,1,3221153,"$4,587,808"
2,2007,2,0.3146433,0.0179396,227,2,1,3221153,"$3,518,938"
2,2007,3,0.3202997,0.0226284,214,2,1,3221153,"$3,410,968"
2,2007,4,0.3410456,0.0200323,231,2,1,3221153,"$4,599,432"
2,2008,1,0.3296057,0.0267189,222,2,1,3267887,"$3,946,419"
2,2008,2,0.3341153,0.0260659,206,2,1,3267887,"$3,320,573"
2,2008,3,0.3501523,0.0278251,200,2,1,3267887,"$3,159,376"
2,2008,4,0.4052072,0.0300796,222,2,1,3267887,"$4,059,489"
2,2009,1,0.3544282,0.0264516,220,2,1,3217708,"$3,700,396"
2,2009,2,0.3571866,0.02108,207,2,1,3217708,"$3,839,814"
2,2009,3,0.3998977,0.0352005,194,2,1,3217708,"$3,494,829"
2,2009,4,0.3926415,0.0310611,223,2,1,3217708,"$3,854,642"
2,2010,1,0.3639442,0.0229224,212,2,1,3144836,"$3,479,002"
2,2010,2,0.34005,0.0290382,209,2,1,3144836,"$3,487,921"
2,2010,3,0.3166114,0.0171696,215,2,1,3144836,"$3,542,584"
2,2010,4,0.3786169,0.0296618,223,2,1,3144836,"$3,425,581"
3,2004,1,0.2317091,0.0065756,1044,2,1,4401824,"$9,394,569"
3,2004,2,0.2303381,0.0065429,952,2,1,4401824,"$8,531,732"
3,2004,3,0.2375318,0.0072713,859,2,1,4401824,"$7,273,357"
3,2004,4,0.2270826,0.0066627,1031,2,1,4401824,"$9,707,910"
3,2005,1,0.2257497,0.0063023,985,2,1,4484890,"$9,282,622"
3,2005,2,0.224999,0.0074395,830,2,1,4484890,"$7,812,729"
3,2005,3,0.2275233,0.0067444,810,2,1,4484890,"$7,476,686"
3,2005,4,0.2159675,0.0068659,981,2,1,4484890,"$10,241,603"
3,2006,1,0.225871,0.0076245,912,2,1,4350804,"$8,644,261"
3,2006,2,0.228552,0.008884,869,2,1,4350804,"$7,883,023"
